timestamp,court_type,pub_id,file_id,filename,file_size_kb,file_path,result,source
2026-06-07 14:56:16,ECONOMIC,1221154,90852676,1221154_53831.pdf,126.9,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221154_53831.pdf,success,bir_martalik
2026-06-07 14:56:16,ECONOMIC,1221152,90852509,1221152_52322 пуб.pdf,127.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221152_52322 пуб.pdf,success,bir_martalik
2026-06-07 14:56:17,ECONOMIC,1221153,90852599,1221153_61828-ижара кисман.pdf,126.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221153_61828-ижара кисман.pdf,success,bir_martalik
2026-06-07 14:56:17,ECONOMIC,1221151,90645026,1221151_78477 суд буйру-и.pdf,359.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221151_78477 суд буйру-и.pdf,success,bir_martalik
2026-06-07 14:56:18,ECONOMIC,1221150,90644964,1221150_78478 суд буй.pdf,359.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221150_78478 суд буй.pdf,success,bir_martalik
2026-06-07 14:56:18,ECONOMIC,1221149,90644893,1221149_78479 суд буй.pdf,359.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221149_78479 суд буй.pdf,success,bir_martalik
2026-06-07 14:56:19,ECONOMIC,1221148,86721969,1221148_18277           бекор қилинсин               05.05.23.pdf,156.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221148_18277           бекор қилинсин               05.05.23.pdf,success,bir_martalik
2026-06-07 14:56:19,ECONOMIC,1221147,86662816,1221147_1213 регрес.pdf,128.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221147_1213 регрес.pdf,success,bir_martalik
2026-06-07 14:56:19,ECONOMIC,1221146,85818527,1221146_2128-12236 асосий қисм. пеня қисм..pdf,181.4,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221146_2128-12236 асосий қисм. пеня қисм..pdf,success,bir_martalik
2026-06-07 14:56:20,ECONOMIC,1221145,85792541,1221145_2210-49033 иш тугатилган.pdf,355.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221145_2210-49033 иш тугатилган.pdf,success,bir_martalik
2026-06-07 14:56:20,ECONOMIC,1221144,85784559,1221144_75057 1 (1).pdf,345.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221144_75057 1 (1).pdf,success,bir_martalik
2026-06-07 14:56:21,ECONOMIC,1221143,85784558,1221143_75057 1 (1).pdf,345.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221143_75057 1 (1).pdf,success,bir_martalik
2026-06-07 14:56:22,ECONOMIC,1221142,85784555,1221142_75058 1 (1).pdf,356.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221142_75058 1 (1).pdf,success,bir_martalik
2026-06-07 14:56:22,ECONOMIC,1221141,85784553,1221141_75058 1 (1).pdf,356.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221141_75058 1 (1).pdf,success,bir_martalik
2026-06-07 14:56:23,ECONOMIC,1221140,85764181,1221140_44965-ипотека банк -арт лофт ХКК тулик.pdf,119.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221140_44965-ипотека банк -арт лофт ХКК тулик.pdf,success,bir_martalik
2026-06-07 14:56:24,ECONOMIC,1221138,85727675,1221138_908       антиқа         06.12.24  базага.pdf,148.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221138_908       антиқа         06.12.24  базага.pdf,success,bir_martalik
2026-06-07 14:56:24,ECONOMIC,1221137,85694682,1221137_المرفق (1).pdf,588.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221137_المرفق (1).pdf,success,bir_martalik
2026-06-07 14:56:24,ECONOMIC,1221139,85731004,1221139_24106 Саноатқурилишбанк - Бетон бизнес - Маззали таом юкла.pdf,407.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221139_24106 Саноатқурилишбанк - Бетон бизнес - Маззали таом юкла.pdf,success,bir_martalik
2026-06-07 14:56:25,ECONOMIC,1221136,85642734,1221136_81755.pdf,430.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221136_81755.pdf,success,bir_martalik
2026-06-07 14:56:25,ECONOMIC,1221135,85642729,1221135_81753.pdf,432.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221135_81753.pdf,success,bir_martalik
2026-06-07 14:56:26,ECONOMIC,1221134,85642733,1221134_81747.pdf,426.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221134_81747.pdf,success,bir_martalik
2026-06-07 14:56:26,ECONOMIC,1221133,85642727,1221133_Ажрим (аризани рад этиш ҳақида).pdf,76.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221133_Ажрим (аризани рад этиш ҳақида).pdf,success,bir_martalik
2026-06-07 14:56:26,ECONOMIC,1221132,85534909,1221132_Қарор (кассация) (1).pdf,119.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221132_Қарор (кассация) (1).pdf,success,bir_martalik
2026-06-07 14:56:28,ECONOMIC,1221129,85314632,1221129_Ҳал қилув қарори.pdf,82.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221129_Ҳал қилув қарори.pdf,success,bir_martalik
2026-06-07 14:56:28,ECONOMIC,1221128,85215143,1221128_4762.pdf,53.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221128_4762.pdf,success,bir_martalik
2026-06-07 14:56:29,ECONOMIC,1221127,85215140,1221127_4762.pdf,53.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221127_4762.pdf,success,bir_martalik
2026-06-07 14:56:29,ECONOMIC,1221131,85325178,1221131_4-1001-2329-17710_AntiCopy.pdf,3311.4,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221131_4-1001-2329-17710_AntiCopy.pdf,success,bir_martalik
2026-06-07 14:56:29,ECONOMIC,1221126,85212834,1221126_70031 ўзкабелтелевидения ҳақ эвазига  тўламаган.pdf,119.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221126_70031 ўзкабелтелевидения ҳақ эвазига  тўламаган.pdf,success,bir_martalik
2026-06-07 14:56:31,ECONOMIC,1221124,85056207,1221124_1453.pdf,247.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221124_1453.pdf,success,bir_martalik
2026-06-07 14:56:32,ECONOMIC,1221123,85056527,1221123_1446.pdf,301.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221123_1446.pdf,success,bir_martalik
2026-06-07 14:56:33,ECONOMIC,1221122,85056202,1221122_1451 иш.pdf,454.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221122_1451 иш.pdf,success,bir_martalik
2026-06-07 14:56:33,ECONOMIC,1221130,85325168,1221130_2194_AntiCopy.pdf,5422.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221130_2194_AntiCopy.pdf,success,bir_martalik
2026-06-07 14:56:33,ECONOMIC,1221121,84831958,1221121_Ҳал қилув қарори.pdf,79.4,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221121_Ҳал қилув қарори.pdf,success,bir_martalik
2026-06-07 14:56:34,ECONOMIC,1221120,84799619,1221120_51038-Solconroad Product МЧЖ - даъвогар иштирокисиз 107-5-3-Медиация (1).pdf,450.8,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221120_51038-Solconroad Product МЧЖ - даъвогар иштирокисиз 107-5-3-Медиация (1).pdf,success,bir_martalik
2026-06-07 14:56:34,ECONOMIC,1221119,84762185,1221119_64063.pdf,234.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221119_64063.pdf,success,bir_martalik
2026-06-07 14:56:34,ECONOMIC,1221118,84741086,1221118_51037 — копия (1).pdf,226.8,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221118_51037 — копия (1).pdf,success,bir_martalik
2026-06-07 14:56:35,ECONOMIC,1221117,84693522,1221117_Ҳал қилув қарори.pdf,78.8,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221117_Ҳал қилув қарори.pdf,success,bir_martalik
2026-06-07 14:56:35,ECONOMIC,1221116,84671874,1221116_57649.pdf,71.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221116_57649.pdf,success,bir_martalik
2026-06-07 14:56:36,ECONOMIC,1221115,84671014,1221115_27671 астор аллианс.pdf,271.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221115_27671 астор аллианс.pdf,success,bir_martalik
2026-06-07 14:56:36,ECONOMIC,1221114,84670562,1221114_29829.pdf,68.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221114_29829.pdf,success,bir_martalik
2026-06-07 14:56:43,ECONOMIC,1221110,84588862,1221110_Ажрим (аризани қаноатлантириш ҳақида).pdf,76.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221110_Ажрим (аризани қаноатлантириш ҳақида).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:43,ECONOMIC,1221109,84562047,1221109_10635 сади жамшох якуний тасдиқлаш.pdf,294.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221109_10635 сади жамшох якуний тасдиқлаш.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:45,ECONOMIC,1221108,84529728,1221108_15655 (2).pdf,463.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221108_15655 (2).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:45,ECONOMIC,1221107,84478440,1221107_2258-Ҳалқ банки-Такси голден-профессионал.pdf,381.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221107_2258-Ҳалқ банки-Такси голден-профессионал.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:45,ECONOMIC,1221106,84478434,1221106_2618-Монополия-Сув таъминоти-қисман (2).pdf,699.8,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221106_2618-Монополия-Сув таъминоти-қисман (2).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:45,ECONOMIC,1221105,84475325,1221105_ОХИРГИСИ 2302-8884 ҲҚҚ КадастрАгентлиги-ЗангиотаХаус ноқонуний қурилма бузиш ва б.pdf,193.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221105_ОХИРГИСИ 2302-8884 ҲҚҚ КадастрАгентлиги-ЗангиотаХаус ноқонуний қурилма бузиш ва б.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:46,ECONOMIC,1221104,84457410,1221104_Сапфир жилоси 1126 шикоят рад ҲҚҚ кучида ижара.pdf,670.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221104_Сапфир жилоси 1126 шикоят рад ҲҚҚ кучида ижара.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:46,ECONOMIC,1221103,84406377,1221103_3148_AntiCopy.pdf,4324.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221103_3148_AntiCopy.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:50,ECONOMIC,1221102,84361800,1221102_Ҳал қилув қарори 4368.pdf,89.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221102_Ҳал қилув қарори 4368.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:50,ECONOMIC,1221101,84345018,1221101_2177-сонли иш Ҳалқбанк (1).pdf,430.9,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221101_2177-сонли иш Ҳалқбанк (1).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:52,ECONOMIC,1221100,84345019,1221100_2175-сонли иш Ҳалқбанк.pdf,491.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221100_2175-сонли иш Ҳалқбанк.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:52,ECONOMIC,1221099,84345014,1221099_2176-сонли иш Ҳалқбанк.pdf,415.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221099_2176-сонли иш Ҳалқбанк.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:53,ECONOMIC,1221098,84317421,1221098_юкланмаган зеростарт (2).pdf,415.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221098_юкланмаган зеростарт (2).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:54,ECONOMIC,1221097,84317419,1221097_81072 (1).pdf,220.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221097_81072 (1).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:57,ECONOMIC,1221096,84307182,1221096_Ҳал қилув қарори.pdf,97.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221096_Ҳал қилув қарори.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:56:58,ECONOMIC,1221095,84298540,1221095_12037 шаҳар солиқ кўрмасдан қолдириш.pdf,197.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221095_12037 шаҳар солиқ кўрмасдан қолдириш.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:57:31,ECONOMIC,1221125,85056559,1221125_1419.pdf,247.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221125_1419.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:57:38,ECONOMIC,1221113,84670555,1221113_29828.pdf,67.9,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221113_29828.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:57:38,ECONOMIC,1221112,84670552,1221112_29826.pdf,69.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221112_29826.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 14:57:39,ECONOMIC,1221111,84670548,1221111_29824.pdf,68.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221111_29824.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:23,ECONOMIC,1221154,90852676,1221154_53831.pdf,126.9,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221154_53831.pdf,success,bir_martalik
2026-06-07 16:20:24,ECONOMIC,1221153,90852599,1221153_61828-ижара кисман.pdf,126.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221153_61828-ижара кисман.pdf,success,bir_martalik
2026-06-07 16:20:24,ECONOMIC,1221152,90852509,1221152_52322 пуб.pdf,127.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221152_52322 пуб.pdf,success,bir_martalik
2026-06-07 16:20:25,ECONOMIC,1221150,90644964,1221150_78478 суд буй.pdf,359.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221150_78478 суд буй.pdf,success,bir_martalik
2026-06-07 16:20:26,ECONOMIC,1221151,90645026,1221151_78477 суд буйру-и.pdf,359.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221151_78477 суд буйру-и.pdf,success,bir_martalik
2026-06-07 16:20:26,ECONOMIC,1221149,90644893,1221149_78479 суд буй.pdf,359.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221149_78479 суд буй.pdf,success,bir_martalik
2026-06-07 16:20:26,ECONOMIC,1221148,86721969,1221148_18277           бекор қилинсин               05.05.23.pdf,156.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221148_18277           бекор қилинсин               05.05.23.pdf,success,bir_martalik
2026-06-07 16:20:27,ECONOMIC,1221147,86662816,1221147_1213 регрес.pdf,128.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221147_1213 регрес.pdf,success,bir_martalik
2026-06-07 16:20:27,ECONOMIC,1221146,85818527,1221146_2128-12236 асосий қисм. пеня қисм..pdf,181.4,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221146_2128-12236 асосий қисм. пеня қисм..pdf,success,bir_martalik
2026-06-07 16:20:28,ECONOMIC,1221145,85792541,1221145_2210-49033 иш тугатилган.pdf,355.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221145_2210-49033 иш тугатилган.pdf,success,bir_martalik
2026-06-07 16:20:28,ECONOMIC,1221144,85784559,1221144_75057 1 (1).pdf,345.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221144_75057 1 (1).pdf,success,bir_martalik
2026-06-07 16:20:30,ECONOMIC,1221142,85784555,1221142_75058 1 (1).pdf,356.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221142_75058 1 (1).pdf,success,bir_martalik
2026-06-07 16:20:31,ECONOMIC,1221141,85784553,1221141_75058 1 (1).pdf,356.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221141_75058 1 (1).pdf,success,bir_martalik
2026-06-07 16:20:31,ECONOMIC,1221139,85731004,1221139_24106 Саноатқурилишбанк - Бетон бизнес - Маззали таом юкла.pdf,407.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221139_24106 Саноатқурилишбанк - Бетон бизнес - Маззали таом юкла.pdf,success,bir_martalik
2026-06-07 16:20:31,ECONOMIC,1221138,85727675,1221138_908       антиқа         06.12.24  базага.pdf,148.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221138_908       антиқа         06.12.24  базага.pdf,success,bir_martalik
2026-06-07 16:20:32,ECONOMIC,1221137,85694682,1221137_المرفق (1).pdf,588.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221137_المرفق (1).pdf,success,bir_martalik
2026-06-07 16:20:32,ECONOMIC,1221136,85642734,1221136_81755.pdf,430.5,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221136_81755.pdf,success,bir_martalik
2026-06-07 16:20:33,ECONOMIC,1221135,85642729,1221135_81753.pdf,432.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221135_81753.pdf,success,bir_martalik
2026-06-07 16:20:33,ECONOMIC,1221140,85764181,1221140_44965-ипотека банк -арт лофт ХКК тулик.pdf,119.1,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221140_44965-ипотека банк -арт лофт ХКК тулик.pdf,success,bir_martalik
2026-06-07 16:20:34,ECONOMIC,1221134,85642733,1221134_81747.pdf,426.7,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221134_81747.pdf,success,bir_martalik
2026-06-07 16:20:34,ECONOMIC,1221133,85642727,1221133_Ажрим (аризани рад этиш ҳақида).pdf,76.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221133_Ажрим (аризани рад этиш ҳақида).pdf,success,bir_martalik
2026-06-07 16:20:44,ECONOMIC,1221130,85325168,1221130_2194_AntiCopy.pdf,5422.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221130_2194_AntiCopy.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:45,ECONOMIC,1221128,85215143,1221128_4762.pdf,53.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221128_4762.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:46,ECONOMIC,1221127,85215140,1221127_4762.pdf,53.6,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221127_4762.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:46,ECONOMIC,1221126,85212834,1221126_70031 ўзкабелтелевидения ҳақ эвазига  тўламаган.pdf,119.3,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221126_70031 ўзкабелтелевидения ҳақ эвазига  тўламаган.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:49,ECONOMIC,1221129,85314632,1221129_Ҳал қилув қарори.pdf,82.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221129_Ҳал қилув қарори.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:20:50,ECONOMIC,1221125,85056559,1221125_1419.pdf,247.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221125_1419.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:21:29,ECONOMIC,1221143,85784558,1221143_75057 1 (1).pdf,345.0,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221143_75057 1 (1).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Re",bir_martalik
2026-06-07 16:21:41,ECONOMIC,1221132,85534909,1221132_Қарор (кассация) (1).pdf,119.2,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221132_Қарор (кассация) (1).pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
2026-06-07 16:21:42,ECONOMIC,1221131,85325178,1221131_4-1001-2329-17710_AntiCopy.pdf,3311.4,/home/ubuntu/Documents/SudPublik/Iqtisodiy_Sudlar/2024_dan_keyin/1221131_4-1001-2329-17710_AntiCopy.pdf,"failed: HTTPSConnectionPool(host='publication.sud.uz', port=443): Ma",bir_martalik
